Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,PHL,MIA,19920,27273,7353,5553,1634,120,96,05:32 -> 07:34
T00,F01,C01,MIA,MSP,44445,55326,10881,9081,2418,120,96,12:20 -> 15:22
T00,F02,C01,MSP,MIA,60335,71216,10881,9081,2418,120,96,16:45 -> 19:46
T01,F03,C02,EWR,ATL,20280,25675,5395,3595,1199,120,96,05:38 -> 07:07
T01,F04,C03,ATL,EWR,59803,65198,5395,3595,1199,120,96,16:36 -> 18:06
T01,F05,C03,EWR,DFW,67868,77786,9918,8118,2204,120,96,18:51 -> 21:36
T02,F06,C04,ATL,MIA,20760,25075,4315,2515,959,160,128,05:46 -> 06:57
T02,F07,C05,MIA,ATL,43831,48146,4315,2515,959,160,128,12:10 -> 13:22
T02,F08,C05,ATL,MIA,57841,62156,4315,2515,959,160,128,16:04 -> 17:15
T02,F09,C01,MIA,ATL,79674,83989,4315,2515,959,160,128,22:07 -> 23:19
T02,F10,C06,ATL,DFW,86523,91806,5283,3483,1174,160,128,00:02 (+1) -> 01:30 (+1)
T03,F11,C07,PHX,DEN,19980,24336,4356,2556,968,200,160,05:33 -> 06:45
T03,F12,C08,DEN,PHL,59421,70671,11250,9450,2500,200,160,16:30 -> 19:37
T04,F13,C09,PHL,MIA,20700,28053,7353,5553,1634,160,128,05:45 -> 07:47
T04,F14,C10,MIA,PHL,49996,57349,7353,5553,1634,160,128,13:53 -> 15:55
T04,F15,C10,PHL,CLT,67450,70694,3244,1444,721,160,128,18:44 -> 19:38
T04,F16,C10,CLT,EWR,78410,82235,3825,2025,850,160,128,21:46 -> 22:50
T05,F17,C11,DFW,JFK,20100,30153,10053,8253,2234,200,160,05:35 -> 08:22
T05,F18,C12,JFK,DFW,48700,58753,10053,8253,2234,200,160,13:31 -> 16:19
T05,F19,C12,DFW,MCO,62040,69159,7119,5319,1582,200,160,17:14 -> 19:12
T06,F20,C13,CLT,MCO,19800,23197,3397,1597,755,200,160,05:30 -> 06:26
T06,F21,C14,MCO,CLT,54418,57815,3397,1597,755,200,160,15:06 -> 16:03
T06,F22,C15,CLT,MCO,77185,80582,3397,1597,755,200,160,21:26 -> 22:23
T07,F23,C16,ATL,IAH,20520,25501,4981,3181,1107,200,160,05:42 -> 07:05
T07,F24,C17,IAH,ATL,57608,62589,4981,3181,1107,200,160,16:00 -> 17:23
T07,F25,C18,ATL,MIA,82127,86442,4315,2515,959,200,160,22:48 -> 00:00 (+1)
T08,F26,C19,DTW,LAS,20580,33216,12636,10836,2808,120,96,05:43 -> 09:13
T08,F27,C19,LAS,DFW,46851,54474,7623,5823,1694,120,96,13:00 -> 15:07
T08,F28,C20,DFW,LAX,77219,86142,8923,7123,1983,120,96,21:26 -> 23:55
T09,F29,C21,DEN,IAH,19920,26161,6241,4441,1387,200,160,05:32 -> 07:16
T09,F30,C22,IAH,DEN,55883,62124,6241,4441,1387,200,160,15:31 -> 17:15
T10,F31,C23,EWR,IAH,19800,29925,10125,8325,2250,120,96,05:30 -> 08:18
T10,F32,C23,IAH,SFO,40912,52733,11821,10021,2627,120,96,11:21 -> 14:38
T10,F33,C24,SFO,IAH,64460,76281,11821,10021,2627,120,96,17:54 -> 21:11
T11,F34,C25,PHX,MCO,20640,34000,13360,11560,2969,200,160,05:44 -> 09:26
T11,F35,C25,MCO,IAH,39705,45879,6174,4374,1372,200,160,11:01 -> 12:44
T11,F36,C26,IAH,MCO,74909,81083,6174,4374,1372,200,160,20:48 -> 22:31
T12,F37,C27,MCO,PHX,19800,33160,13360,11560,2969,200,160,05:30 -> 09:12
T12,F38,C27,PHX,DFW,36168,42436,6268,4468,1393,200,160,10:02 -> 11:47
T12,F39,C28,DFW,ATL,61551,66834,5283,3483,1174,200,160,17:05 -> 18:33
T13,F40,C29,CLT,DEN,20760,30426,9666,7866,2148,160,128,05:46 -> 08:27
T13,F41,C30,DEN,LAX,51919,58151,6232,4432,1385,160,128,14:25 -> 16:09
T13,F42,C30,LAX,DEN,61961,68193,6232,4432,1385,160,128,17:12 -> 18:56
T14,F43,C31,PHX,DFW,20340,26608,6268,4468,1393,120,96,05:39 -> 07:23
T14,F44,C31,DFW,PHX,37038,43306,6268,4468,1393,120,96,10:17 -> 12:01
T14,F45,C32,PHX,DFW,75158,81426,6268,4468,1393,120,96,20:52 -> 22:37
T15,F46,C33,DTW,LAS,19860,32496,12636,10836,2808,120,96,05:31 -> 09:01
T15,F47,C33,LAS,IAH,41333,50162,8829,7029,1962,120,96,11:28 -> 13:56
T15,F48,C34,IAH,LAS,58600,67429,8829,7029,1962,120,96,16:16 -> 18:43
T16,F49,C35,ATL,MIA,20400,24715,4315,2515,959,160,128,05:40 -> 06:51
T16,F50,C00,MIA,ATL,36137,40452,4315,2515,959,160,128,10:02 -> 11:14
T16,F51,C17,ATL,DFW,71579,76862,5283,3483,1174,160,128,19:52 -> 21:21
T16,F52,C03,DFW,MIA,83283,91392,8109,6309,1802,160,128,23:08 -> 01:23 (+1)
T17,F53,C36,BOS,IAH,20700,32251,11551,9751,2567,200,160,05:45 -> 08:57
T17,F54,C16,IAH,BOS,36285,47836,11551,9751,2567,200,160,10:04 -> 13:17
T17,F55,C37,BOS,IAH,54185,65736,11551,9751,2567,200,160,15:03 -> 18:15
T18,F56,C38,DTW,LAS,20280,32916,12636,10836,2808,160,128,05:38 -> 09:08
T18,F57,C38,LAS,DFW,44675,52298,7623,5823,1694,160,128,12:24 -> 14:31
T18,F58,C17,DFW,CLT,86735,93498,6763,4963,1503,160,128,00:05 (+1) -> 01:58 (+1)
T19,F59,C39,MCO,DFW,19920,27039,7119,5319,1582,120,96,05:32 -> 07:30
T19,F60,C39,DFW,MCO,33877,40996,7119,5319,1582,120,96,09:24 -> 11:23
T19,F61,C39,MCO,DFW,46718,53837,7119,5319,1582,120,96,12:58 -> 14:57
