Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,PHL,DFW,19920,29334,75
I01,F00-F01,PHL,EWR,19920,56424,11
I02,F01,DFW,EWR,46506,56424,75
I03,F02,EWR,DFW,61433,71351,96
I04,F03,EWR,ORD,20280,25473,85
I05,F04,ORD,DEN,59601,66018,85
I06,F04-F05,ORD,BOS,59601,81355,11
I07,F05,DEN,BOS,68688,81355,85
I08,F06,ATL,IAH,20760,25741,128
I09,F07,IAH,ATL,44497,49478,100
I10,F08,ATL,IAH,59173,64154,128
I11,F09,IAH,ATL,81672,86653,128
I12,F10,DFW,SEA,20100,32106,125
I13,F10-F11,DFW,LAX,20100,50954,19
I14,F11,SEA,LAX,44042,50954,125
I15,F12,LAX,SEA,86039,92951,160
I16,F13,PHL,DFW,20700,30114,113
I17,F14,DFW,PHL,52057,61471,113
I18,F14-F15,DFW,ORD,52057,76468,15
I19,F15,PHL,ORD,71572,76468,100
I20,F15-F16,PHL,MIA,71572,92869,13
I21,F16,ORD,MIA,84184,92869,115
I22,F17,DFW,ORD,20100,25905,125
I23,F03-F18,EWR,DFW,20280,50257,11
I24,F18,ORD,DFW,44452,50257,132
I25,F00-F19,PHL,SFO,19920,64123,10
I26,F13-F19,PHL,SFO,20700,64123,15
I27,F18-F19,ORD,SFO,44452,64123,17
I28,F19,DFW,SFO,53544,64123,104
I29,F19-F20,DFW,LAS,53544,89197,14
I30,F20,SFO,LAS,86209,89197,146
I31,F21,BOS,CLT,20220,25485,160
I32,F22,CLT,MCO,56268,59665,141
I33,F22-F23,CLT,JFK,56268,90854,19
I34,F23,MCO,JFK,84010,90854,141
I35,F24,DTW,BWI,20040,22992,160
I36,F25,BWI,DTW,39364,42316,141
I37,F26,DTW,DFW,73870,81007,160
I38,F27,ATL,DEN,20820,29487,128
I39,F28,DEN,ATL,42611,51278,100
I40,F07-F29,IAH,LAS,44497,87425,15
I41,F28-F29,DEN,LAS,42611,87425,15
I42,F29,ATL,LAS,74807,87425,98
I43,F30,LAX,ORD,19920,32529,100
I44,F17-F31,DFW,EWR,20100,40019,19
I45,F30-F31,LAX,EWR,19920,40019,15
I46,F31,ORD,EWR,34826,40019,83
I47,F31-F32,ORD,DTW,34826,49086,11
I48,F32,EWR,DTW,45563,49086,117
I49,F25-F33,BWI,EWR,39364,56786,19
I50,F33,DTW,EWR,53263,56786,109
I51,F01-F34,DFW,DTW,46506,80145,10
I52,F34,EWR,DTW,76622,80145,118
I53,F35,MSP,MCO,20700,30195,113
I54,F35-F36,MSP,DEN,20700,54924,15
I55,F36,MCO,DEN,43737,54924,100
I56,F36-F37,MCO,JFK,43737,77132,13
I57,F37,DEN,JFK,65392,77132,115
I58,F38,ATL,PHX,20520,31990,96
I59,F39,PHX,ATL,39269,50739,96
I60,F07-F40,IAH,PHX,44497,82637,13
I61,F28-F40,DEN,PHX,42611,82637,13
I62,F40,ATL,PHX,71167,82637,70
I63,F41,DTW,MSP,21000,24816,96
I64,F42,MSP,SEA,54091,64189,96
I65,F43,LAX,ORD,20340,32949,85
I66,F44,ORD,LAX,66116,78725,96
I67,F45,LAX,SEA,20880,27792,160
I68,F10-F46,DFW,LAX,20100,56007,16
I69,F46,SEA,LAX,49095,56007,127
I70,F47,LAX,ORD,20520,33129,141
I71,F17-F48,DFW,SEA,20100,66962,16
I72,F30-F48,LAX,SEA,19920,66962,13
I73,F43-F48,LAX,SEA,20340,66962,11
I74,F47-F48,LAX,SEA,20520,66962,19
I75,F48,ORD,SEA,54538,66962,101
I76,F49,MSP,LAX,19800,30901,160
I77,F11-F50,SEA,MSP,44042,74570,16
I78,F46-F50,SEA,MSP,49095,74570,17
I79,F50,LAX,MSP,63469,74570,127
I80,F51,MIA,DFW,20580,28689,96
I81,F52,DFW,ORD,59138,64943,96
I82,F53,CLT,PHL,19920,23164,160
I83,F54,PHL,CLT,30767,34011,141
I84,F54-F55,PHL,FLL,30767,66357,19
I85,F55,CLT,FLL,61772,66357,125
I86,F55-F56,CLT,LGA,61772,88549,16
I87,F56,FLL,LGA,80746,88549,144
I88,F57,JFK,ATL,20880,26379,128
I89,F58,ATL,JFK,29517,35016,128
I90,F59,JFK,DFW,66438,76491,128
