Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,LAX,ORD,20280,32889,52
I01,F00-F01,LAX,ATL,20280,55231,11
I02,F01,ORD,ATL,50839,55231,75
I03,F02,ATL,ORD,73715,78107,96
I04,F03,DFW,ATL,20880,26163,128
I05,F04,ATL,DFW,29009,34292,88
I06,F04-F05,ATL,LAX,29009,63531,15
I07,F05,DFW,LAX,54608,63531,113
I08,F06,LAX,DFW,72738,81661,128
I09,F07,DEN,ORD,20220,26637,66
I10,F00-F08,LAX,SFO,20280,74336,10
I11,F08,ORD,SFO,61003,74336,86
I12,F09,JFK,DEN,19980,31720,160
I13,F10,DEN,JFK,66805,78545,160
I14,F11,CLT,JFK,20760,24675,113
I15,F11-F12,CLT,ATL,20760,48397,15
I16,F12,JFK,ATL,42898,48397,100
I17,F01-F13,ORD,LAS,50839,85549,10
I18,F12-F13,JFK,LAS,42898,85549,13
I19,F13,ATL,LAS,72931,85549,105
I20,F14,LAS,ORD,19980,30919,125
I21,F00-F15,LAX,DFW,20280,51973,9
I22,F07-F15,DEN,DFW,20220,51973,11
I23,F14-F15,LAS,DFW,19980,51973,19
I24,F15,ORD,DFW,46168,51973,84
I25,F04-F16,ATL,LAS,29009,62883,13
I26,F15-F16,ORD,LAS,46168,62883,14
I27,F16,DFW,LAS,55260,62883,133
I28,F17,LAS,DFW,84969,92592,160
I29,F18,LAS,DFW,20220,27843,160
I30,F15-F19,ORD,ATL,46168,63909,12
I31,F19,DFW,ATL,58626,63909,148
I32,F20,LAS,ORD,20040,30979,113
I33,F00-F21,LAX,LAS,20280,58290,7
I34,F07-F21,DEN,LAS,20220,58290,10
I35,F21,ORD,LAS,47351,58290,111
I36,F22,SFO,DEN,20700,27684,125
I37,F22-F23,SFO,ORD,20700,35955,19
I38,F23,DEN,ORD,29538,35955,125
I39,F00-F24,LAX,CLT,20280,53417,7
I40,F07-F24,DEN,CLT,20220,53417,9
I41,F14-F24,LAS,CLT,19980,53417,16
I42,F20-F24,LAS,CLT,20040,53417,15
I43,F23-F24,DEN,CLT,29538,53417,16
I44,F24,ORD,CLT,49079,53417,86
I45,F24-F25,ORD,DEN,49079,86612,11
I46,F25,CLT,DEN,76946,86612,149
I47,F26,ATL,DEN,19920,28587,113
I48,F22-F27,SFO,CLT,20700,40550,16
I49,F26-F27,ATL,CLT,19920,40550,15
I50,F27,DEN,CLT,30884,40550,86
I51,F27-F28,DEN,DFW,30884,52857,11
I52,F28,CLT,DFW,46094,52857,117
I53,F04-F29,ATL,CLT,29009,63797,12
I54,F15-F29,ORD,CLT,46168,63797,11
I55,F29,DFW,CLT,57034,63797,105
I56,F30,CLT,DFW,83633,90396,128
