Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,LAX,ORD,20280,32889,12609,10809,2802,120,96,05:38 -> 09:08
T00,F01,C01,ORD,ATL,50839,55231,4392,2592,976,120,96,14:07 -> 15:20
T00,F02,C02,ATL,ORD,73715,78107,4392,2592,976,120,96,20:28 -> 21:41
T01,F03,C03,DFW,ATL,20880,26163,5283,3483,1174,160,128,05:48 -> 07:16
T01,F04,C03,ATL,DFW,29009,34292,5283,3483,1174,160,128,08:03 -> 09:31
T01,F05,C04,DFW,LAX,54608,63531,8923,7123,1983,160,128,15:10 -> 17:38
T01,F06,C04,LAX,DFW,72738,81661,8923,7123,1983,160,128,20:12 -> 22:41
T02,F07,C05,DEN,ORD,20220,26637,6417,4617,1426,120,96,05:37 -> 07:23
T02,F08,C06,ORD,SFO,61003,74336,13333,11533,2963,120,96,16:56 -> 20:38
T03,F09,C07,JFK,DEN,19980,31720,11740,9940,2609,200,160,05:33 -> 08:48
T03,F10,C08,DEN,JFK,66805,78545,11740,9940,2609,200,160,18:33 -> 21:49
T04,F11,C09,CLT,JFK,20760,24675,3915,2115,870,160,128,05:46 -> 06:51
T04,F12,C10,JFK,ATL,42898,48397,5499,3699,1222,160,128,11:54 -> 13:26
T04,F13,C11,ATL,LAS,72931,85549,12618,10818,2804,160,128,20:15 -> 23:45
T05,F14,C12,LAS,ORD,19980,30919,10939,9139,2431,200,160,05:33 -> 08:35
T05,F15,C00,ORD,DFW,46168,51973,5805,4005,1290,200,160,12:49 -> 14:26
T05,F16,C00,DFW,LAS,55260,62883,7623,5823,1694,200,160,15:21 -> 17:28
T05,F17,C13,LAS,DFW,84969,92592,7623,5823,1694,200,160,23:36 -> 01:43 (+1)
T06,F18,C14,LAS,DFW,20220,27843,7623,5823,1694,200,160,05:37 -> 07:44
T06,F19,C15,DFW,ATL,58626,63909,5283,3483,1174,200,160,16:17 -> 17:45
T07,F20,C16,LAS,ORD,20040,30979,10939,9139,2431,160,128,05:34 -> 08:36
T07,F21,C17,ORD,LAS,47351,58290,10939,9139,2431,160,128,13:09 -> 16:11
T08,F22,C18,SFO,DEN,20700,27684,6984,5184,1552,200,160,05:45 -> 07:41
T08,F23,C18,DEN,ORD,29538,35955,6417,4617,1426,200,160,08:12 -> 09:59
T08,F24,C18,ORD,CLT,49079,53417,4338,2538,964,200,160,13:37 -> 14:50
T08,F25,C19,CLT,DEN,76946,86612,9666,7866,2148,200,160,21:22 -> 00:03 (+1)
T09,F26,C20,ATL,DEN,19920,28587,8667,6867,1926,160,128,05:32 -> 07:56
T09,F27,C20,DEN,CLT,30884,40550,9666,7866,2148,160,128,08:34 -> 11:15
T09,F28,C20,CLT,DFW,46094,52857,6763,4963,1503,160,128,12:48 -> 14:40
T09,F29,C21,DFW,CLT,57034,63797,6763,4963,1503,160,128,15:50 -> 17:43
T09,F30,C22,CLT,DFW,83633,90396,6763,4963,1503,160,128,23:13 -> 01:06 (+1)
