Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,PHX,DEN,19920,24276,96
I01,F01,DEN,PHX,41448,45804,96
I02,F02,PHX,DEN,50813,55169,96
I03,F03,DEN,PHX,85552,89908,96
I04,F04,PHX,ORD,19980,30388,59
I05,F04-F05,PHX,ATL,19980,37450,11
I06,F05,ORD,ATL,33058,37450,85
I07,F06,ATL,ORD,52287,56679,85
I08,F07,ORD,ATL,72915,77307,66
I09,F07-F08,ORD,DFW,72915,91971,11
I10,F08,ATL,DFW,86688,91971,85
I11,F09,SEA,PHX,20640,28654,75
I12,F09-F10,SEA,DFW,20640,50955,11
I13,F10,PHX,DFW,44687,50955,59
I14,F10-F11,PHX,ATL,44687,61458,10
I15,F11,DFW,ATL,56175,61458,59
I16,F11-F12,DFW,ORD,56175,77786,10
I17,F12,ATL,ORD,73394,77786,86
I18,F13,MIA,JFK,20160,28066,141
I19,F14,JFK,ATL,60046,65545,141
I20,F07-F15,ORD,JFK,72915,92987,10
I21,F11-F15,DFW,JFK,56175,92987,9
I22,F15,ATL,JFK,87488,92987,141
I23,F16,DEN,PHX,20820,25176,96
I24,F09-F17,SEA,DEN,20640,56578,10
I25,F17,PHX,DEN,52222,56578,86
I26,F18,DEN,PHX,81078,85434,96
I27,F19,ATL,IAH,20700,25681,160
I28,F20,IAH,CLT,61106,67703,141
I29,F20-F21,IAH,JFK,61106,79243,19
I30,F21,CLT,JFK,75328,79243,141
I31,F22,SFO,LAS,20760,23748,66
I32,F22-F23,SFO,ORD,20760,48568,11
I33,F23,LAS,ORD,37629,48568,66
I34,F06-F24,ATL,DFW,52287,76998,11
I35,F23-F24,LAS,DFW,37629,76998,10
I36,F24,ORD,DFW,71193,76998,75
I37,F25,SEA,SFO,20040,24958,160
I38,F26,SFO,SEA,41330,46248,160
I39,F27,SEA,DEN,77802,85204,160
I40,F28,ATL,LAS,20820,33438,113
I41,F22-F29,SFO,ATL,20760,59180,10
I42,F29,LAS,ATL,46562,59180,104
I43,F30,SEA,LAS,20820,27097,85
I44,F22-F31,SFO,ORD,20760,48567,9
I45,F28-F31,ATL,ORD,20820,48567,15
I46,F30-F31,SEA,ORD,20820,48567,11
I47,F31,LAS,ORD,37628,48567,54
I48,F04-F32,PHX,LAS,19980,64152,10
I49,F32,ORD,LAS,53213,64152,59
I50,F32-F33,ORD,DFW,53213,74072,10
I51,F33,LAS,DFW,66449,74072,76
I52,F10-F34,PHX,ORD,44687,85421,9
I53,F33-F34,LAS,ORD,66449,85421,10
I54,F34,DFW,ORD,79616,85421,77
I55,F35,ORD,JFK,20280,25621,141
I56,F13-F36,MIA,DFW,20160,61503,19
I57,F35-F36,ORD,DFW,20280,61503,19
I58,F36,JFK,DFW,51450,61503,108
I59,F10-F37,PHX,ATL,44687,79256,7
I60,F36-F37,JFK,ATL,51450,79256,14
I61,F37,DFW,ATL,73973,79256,139
I62,F38,LAS,SFO,20160,23148,160
I63,F39,SFO,LAS,58311,61299,141
I64,F32-F40,ORD,SFO,53213,79675,9
I65,F40,LAS,SFO,76687,79675,151
I66,F41,LAS,ORD,20220,31159,100
I67,F04-F42,PHX,CLT,19980,61067,9
I68,F23-F42,LAS,CLT,37629,61067,9
I69,F31-F42,LAS,CLT,37628,61067,7
I70,F41-F42,LAS,CLT,20220,61067,15
I71,F42,ORD,CLT,56729,61067,78
I72,F42-F43,ORD,PHX,56729,76732,10
I73,F43,CLT,PHX,63916,76732,118
I74,F44,DFW,ATL,19860,25143,85
I75,F44-F45,DFW,LAS,19860,50175,11
I76,F45,ATL,LAS,37557,50175,85
I77,F32-F46,ORD,ATL,53213,78826,8
I78,F39-F46,SFO,ATL,58311,78826,19
I79,F46,LAS,ATL,66208,78826,61
I80,F07-F47,ORD,DEN,72915,89583,9
I81,F11-F47,DFW,DEN,56175,89583,8
I82,F14-F47,JFK,DEN,60046,89583,19
I83,F29-F47,LAS,DEN,46562,89583,14
I84,F46-F47,LAS,DEN,66208,89583,8
I85,F47,ATL,DEN,80916,89583,38
I86,F48,SEA,ORD,20940,33364,96
I87,F04-F49,PHX,SEA,19980,59453,7
I88,F41-F49,LAS,SEA,20220,59453,13
I89,F49,ORD,SEA,47029,59453,67
I90,F49-F50,ORD,DEN,47029,91711,9
I91,F50,SEA,DEN,84309,91711,87
