index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,DFW,ORD,19860.00000055115,25664.999997873452,5804.999997322302,4004.9999957663476,1290,160,128,05:31 -> 07:07,,0
1,T00,F13,C00,ORD,ATL,33961.00000054313,38352.99999992252,4391.99999937939,2591.9999983779544,976,160,128,09:26 -> 10:39,,0
2,T00,F02,C00,ATL,ORD,67456.0,71847.99999968019,4391.999999680193,2591.999998779907,976,160,128,18:44 -> 19:57,,0
3,T00,F03,C01,ORD,ATL,83286.00000043557,87678.0,4391.999999564432,2591.9999992327193,976,160,128,23:08 -> 00:21 (+1),,0
4,T01,F04,C02,ORD,LAX,21455.93053686971,33092.93053811145,11637.000001241737,9837.000051901035,2802,120,96,05:57 -> 09:11,00:08,1
5,T01,F05,C02,LAX,ORD,61307.442694770056,72944.44269601266,11637.000001242603,9837.000003984473,2802,120,96,17:01 -> 20:15,00:42,1
6,T02,F06,C03,DFW,ATL,22649.346170762077,27619.34618251005,4970.000011747972,3170.0000110325004,1174,200,160,06:17 -> 07:40,00:28,1
7,T02,F12,C03,ATL,ORD,31485.61552321453,35877.61552080798,4391.999997593452,2591.9999963895107,976,200,128,08:44 -> 09:57,02:57,1
8,T02,F01,C03,ORD,ATL,41313.00000101738,45705.00000058333,4391.9999995659455,2591.999998569831,976,200,128,11:28 -> 12:41,,0
9,T02,F07,C03,ATL,DFW,55254.00000044052,60536.99999798927,5282.999997548744,3482.999996029036,1174,200,160,15:20 -> 16:48,,0
10,T02,F08,C03,DFW,ORD,75976.0,81780.99999943741,5804.999999437408,4004.9999977886464,1290,200,160,21:06 -> 22:43,,0
11,T03,F09,C04,ATL,DFW,20160.000000548196,25442.99999861917,5282.999998070973,3482.9999971105244,1174,160,128,05:36 -> 07:04,,0
12,T03,F10,C04,DFW,ATL,54717.00000054717,59999.99999885607,5282.9999983089,3482.9999967615686,1174,160,128,15:11 -> 16:39,,0
13,T03,F11,C04,ATL,DFW,80370.0,85652.99999878877,5282.999998788771,3482.999998788768,1174,160,128,22:19 -> 23:47,,0
14,T04,F14,C05,ATL,DFW,43286.00000054638,48568.99999907357,5282.999998527186,3482.999997159239,1174,160,128,12:01 -> 13:29,,0
15,T04,F15,C05,DFW,ATL,56657.000000546315,61939.99999907305,5282.999998526735,3482.999997110972,1174,160,128,15:44 -> 17:12,,0
