Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,DFW,ORD,19860.00000055115,25664.999997873452,0.0,0.0,05:31 -> 07:07
I01,I01,F01,F01,68,ORD,ATL,41313.00000101738,45705.00000058333,5.833280738443136e-07,0.0,11:28 -> 12:41
I02,I02,F02,F02,128,ATL,ORD,67456.0,71847.99999968019,0.0,0.0,18:44 -> 19:57
I03,I03,F03,F03,128,ORD,ATL,83286.00000043557,87678.0,0.0,0.0,23:08 -> 00:21 (+1)
I04,I04,F04,F04,96,ORD,LAX,21455.93053686971,33092.93053811145,503.93053811144637,825.8,05:57 -> 09:11
I05,I05,F05,F05,96,LAX,ORD,61307.442694770056,72944.44269601266,2554.4426960126584,4186.0,17:01 -> 20:15
I06,I06,F06,F06,160,DFW,ATL,22649.346170762077,27619.34618251005,1696.3461825100494,4633.1,06:17 -> 07:40
I07,I07,F07,F07,160,ATL,DFW,55254.00000044052,60536.99999798927,0.0,0.0,15:20 -> 16:48
I08,I08,F08,F08,160,DFW,ORD,75976.0,81780.99999943741,0.0,0.0,21:06 -> 22:43
I09,I09,F09,F09,128,ATL,DFW,20160.000000548196,25442.99999861917,0.0,0.0,05:36 -> 07:04
I10,I10,F10,F10,128,DFW,ATL,54717.00000054717,59999.99999885607,0.0,0.0,15:11 -> 16:39
I11,I11,F01-F11,F01-F11,60,ORD,DFW,41313.00000101738,85652.99999878877,0.0,0.0,11:28 -> 23:47
I12,I12,F11,F11,68,ATL,DFW,80370.0,85652.99999878877,0.0,0.0,22:19 -> 23:47
I13,I13,F12,F12,128,ATL,ORD,31485.61552321453,35877.61552080798,10665.61552080798,23303.9,08:44 -> 09:57
I14,I14,F13,F13,128,ORD,ATL,33961.00000054313,38352.99999992252,0.0,0.0,09:26 -> 10:39
I15,I15,F14,F14,128,ATL,DFW,43286.00000054638,48568.99999907357,0.0,0.0,12:01 -> 13:29
I16,I16,F15,F15,128,DFW,ATL,56657.000000546315,61939.99999907305,0.0,0.0,15:44 -> 17:12
