Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,ORD,LAX,19920.0,32529.0,12609,10809,2802,0,0,05:32 -> 09:02,0
T00,F01,C00,LAX,SEA,61995.0,68907.0,6912,5112,1536,0,0,17:13 -> 19:08,0
T00,F02,C01,SEA,SFO,71929.0,76847.0,4918,3118,1093,0,0,19:58 -> 21:20,0
T01,F03,C02,BOS,DTW,20640.0,25203.0,4563,2763,1014,0,0,05:44 -> 07:00,0
T01,F04,C02,DTW,DEN,56792.0,64901.0,8109,6309,1802,0,0,15:46 -> 18:01,0
T02,F05,C03,CLT,LGA,20220.0,24153.0,3933,2133,874,0,0,05:37 -> 06:42,0
T02,F06,C03,LGA,FLL,30628.0,38431.0,7803,6003,1734,0,0,08:30 -> 10:40,0
T02,F07,C03,FLL,ATL,60573.78263206149,64785.78263206149,4212,2412,936,0,0,16:49 -> 17:59,1
T02,F08,C04,ATL,FLL,83467.0,87679.0,4212,2412,936,0,0,23:11 -> 00:21 (+1),0
T03,F09,C05,SEA,LAX,20640.0,27552.0,6912,5112,1536,0,0,05:44 -> 07:39,0
T03,F10,C05,LAX,ORD,38897.0,51506.0,12609,10809,2802,0,0,10:48 -> 14:18,0
T03,F11,C06,ORD,IAH,88862.2662323903,95567.2662323903,6705,4905,1490,0,0,00:41 -> 02:32,1
T04,F12,C07,CLT,PHX,24635.995915350904,37451.995915350904,12816,11016,2848,0,0,06:50 -> 10:24,1
T04,F13,C07,PHX,ATL,64999.0,76469.0,11470,9670,2549,0,0,18:03 -> 21:14,0
T05,F14,C08,DTW,ATL,20760.0,25071.0,4311,2511,958,0,0,05:46 -> 06:57,0
T05,F15,C08,ATL,DTW,37536.0,41847.0,4311,2511,958,0,0,10:25 -> 11:37,0
T05,F16,C08,DTW,ATL,61153.0,65464.0,4311,2511,958,0,0,16:59 -> 18:11,0
T06,F17,C09,DFW,BWI,19860.0,28653.0,8793,6993,1954,0,0,05:31 -> 07:57,0
T06,F18,C09,BWI,DEN,50689.0,61457.0,10768,8968,2393,0,0,14:04 -> 17:04,0
T06,F19,C02,DEN,BWI,67925.0,78693.0,10768,8968,2393,0,0,18:52 -> 21:51,0
T07,F20,C10,DEN,SEA,29936.224106016845,37338.224106016845,7402,5602,1645,0,0,08:18 -> 10:22,1
T07,F21,C10,SEA,DEN,62068.0,69470.0,7402,5602,1645,0,0,17:14 -> 19:17,0
T08,F22,C11,JFK,ATL,20100.0,25599.0,5499,3699,1222,0,0,05:35 -> 07:06,0
T08,F23,C11,ATL,FLL,27465.0,31677.0,4212,2412,936,0,0,07:37 -> 08:47,0
T08,F24,C11,FLL,ORD,65572.0,74144.0,8572,6772,1905,0,0,18:12 -> 20:35,0
T09,F25,C12,SEA,DEN,20940.0,28342.0,7402,5602,1645,0,0,05:49 -> 07:52,0
T09,F26,C12,DEN,CLT,37855.0,47521.0,9666,7866,2148,0,0,10:30 -> 13:12,0
T09,F27,C13,CLT,JFK,64636.0,68551.0,3915,2115,870,0,0,17:57 -> 19:02,0
T09,F28,C13,JFK,MSP,83789.0,91218.0,7429,5629,1651,0,0,23:16 -> 01:20 (+1),0
T10,F29,C14,JFK,MSP,19860.0,27289.0,7429,5629,1651,0,0,05:31 -> 07:34,0
T10,F30,C14,MSP,MIA,34927.0,45808.0,10881,9081,2418,0,0,09:42 -> 12:43,0
