Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,LAX,ORD,20280.0,32889.0,12609,10809,2802,120,96,05:38 -> 09:08,0
T00,F01,C01,ORD,ATL,53702.26216988774,58094.26216988774,4392,2592,976,120,96,14:55 -> 16:08,1
T00,F02,C02,ATL,ORD,73715.0,78107.0,4392,2592,976,120,96,20:28 -> 21:41,0
T01,F03,C03,DFW,ATL,21309.079959908213,26592.079959908213,5283,3483,1174,160,128,05:55 -> 07:23,1
T01,F04,C03,ATL,DFW,32157.38683717189,37440.386837171885,5283,3483,1174,160,128,08:55 -> 10:24,1
T01,F05,C04,DFW,LAX,54608.0,63531.0,8923,7123,1983,160,128,15:10 -> 17:38,0
T01,F06,C04,LAX,DFW,72738.0,81661.0,8923,7123,1983,160,128,20:12 -> 22:41,0
T02,F07,C05,DEN,ORD,20602.117963447636,27019.117963447636,6417,4617,1426,120,96,05:43 -> 07:30,1
T02,F08,C06,ORD,SFO,61003.0,74336.0,13333,11533,2963,120,96,16:56 -> 20:38,0
T03,F09,C07,JFK,DEN,19980.0,31720.0,11740,9940,2609,200,160,05:33 -> 08:48,0
T03,F10,C08,DEN,JFK,76549.47261888992,88289.47261888992,11740,9940,2609,200,160,21:15 -> 00:31,1
T04,F11,C09,CLT,JFK,20760.0,24675.0,3915,2115,870,160,128,05:46 -> 06:51,0
T04,F12,C10,JFK,ATL,55745.38577494978,61244.38577494978,5499,3699,1222,160,128,15:29 -> 17:00,1
T04,F13,C11,ATL,LAS,72931.0,85549.0,12618,10818,2804,160,128,20:15 -> 23:45,0
T05,F14,C12,LAS,ORD,26055.674203467894,36994.6742034679,10939,9139,2431,200,160,07:14 -> 10:16,1
T05,F15,C00,ORD,DFW,46168.0,51973.0,5805,4005,1290,200,160,12:49 -> 14:26,0
T05,F16,C00,DFW,LAS,55260.0,62883.0,7623,5823,1694,200,160,15:21 -> 17:28,0
T05,F17,C13,LAS,DFW,86220.91918986359,93843.91918986359,7623,5823,1694,200,160,23:57 -> 02:04,1
T06,F18,C14,LAS,DFW,20220.0,27843.0,7623,5823,1694,200,160,05:37 -> 07:44,0
T06,F19,C15,DFW,ATL,58626.0,63909.0,5283,3483,1174,200,160,16:17 -> 17:45,0
T07,F20,C16,LAS,ORD,20040.0,30979.0,10939,9139,2431,160,128,05:34 -> 08:36,0
T07,F21,C17,ORD,LAS,47351.0,58290.0,10939,9139,2431,160,128,13:09 -> 16:11,0
T08,F22,C18,SFO,DEN,27977.11614868842,34961.116148688416,6984,5184,1552,200,160,07:46 -> 09:42,1
T08,F23,C18,DEN,ORD,29538.0,35955.0,6417,4617,1426,200,160,08:12 -> 09:59,0
T08,F24,C18,ORD,CLT,49079.0,53417.0,4338,2538,964,200,160,13:37 -> 14:50,0
T08,F25,C19,CLT,DEN,76946.0,86612.0,9666,7866,2148,200,160,21:22 -> 00:03 (+1),0
T09,F26,C20,ATL,DEN,19920.0,28587.0,8667,6867,1926,160,128,05:32 -> 07:56,0
T09,F27,C20,DEN,CLT,30884.0,40550.0,9666,7866,2148,160,128,08:34 -> 11:15,0
T09,F28,C20,CLT,DFW,46094.0,52857.0,6763,4963,1503,160,128,12:48 -> 14:40,0
T09,F29,C21,DFW,CLT,57034.0,63797.0,6763,4963,1503,160,128,15:50 -> 17:43,0
T09,F30,C22,CLT,DFW,83633.0,90396.0,6763,4963,1503,160,128,23:13 -> 01:06 (+1),0
