Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,PHL,DFW,19920,29334,9414,7614,2092,120,96,05:32 -> 08:08
T00,F01,C01,DFW,MDW,46506,52279,5773,3973,1283,120,96,12:55 -> 14:31
T00,F02,C01,MDW,DFW,57288,63061,5773,3973,1283,120,96,15:54 -> 17:31
T01,F03,C02,DCA,IAH,20640,29374,8734,6934,1941,120,96,05:44 -> 08:09
T01,F04,C03,IAH,DCA,51391,60125,8734,6934,1941,120,96,14:16 -> 16:42
T01,F05,C03,DCA,IAH,72781,81515,8734,6934,1941,120,96,20:13 -> 22:38
T02,F06,C04,BWI,IAH,20160,29092,8932,7132,1985,160,128,05:36 -> 08:04
T02,F07,C05,IAH,DEN,48936,55177,6241,4441,1387,160,128,13:35 -> 15:19
T02,F08,C06,DEN,MIA,75884,88250,12366,10566,2748,160,128,21:04 -> 00:30 (+1)
T03,F09,C07,BOS,MCO,21000,29122,8122,6322,1805,160,128,05:50 -> 08:05
T03,F10,C08,MCO,BOS,55670,63792,8122,6322,1805,160,128,15:27 -> 17:43
T04,F11,C09,MCO,PHL,20760,27006,6246,4446,1388,200,160,05:46 -> 07:30
T04,F12,C09,PHL,ATL,39181,44000,4819,3019,1071,200,160,10:53 -> 12:13
T04,F13,C10,ATL,EWR,74739,80134,5395,3595,1199,200,160,20:45 -> 22:15
T04,F14,C10,EWR,ATL,83114,88509,5395,3595,1199,200,160,23:05 -> 00:35 (+1)
T05,F15,C11,DCA,DFW,20460,29073,8613,6813,1914,200,160,05:41 -> 08:04
T05,F16,C00,DFW,DCA,34564,43177,8613,6813,1914,200,160,09:36 -> 11:59
T05,F17,C12,DCA,FLL,73703,80228,6525,4725,1450,200,160,20:28 -> 22:17
T06,F18,C13,PHL,MDW,20880,25704,4824,3024,1072,200,160,05:48 -> 07:08
T06,F19,C14,MDW,SFO,44680,58076,13396,11596,2977,200,160,12:24 -> 16:07
T06,F20,C15,SFO,MSP,78330,89809,11479,9679,2551,200,160,21:45 -> 00:56 (+1)
T07,F21,C16,LAS,MDW,20820,31804,10984,9184,2441,160,128,05:47 -> 08:50
T07,F22,C17,MDW,DEN,46726,53192,6466,4666,1437,160,128,12:58 -> 14:46
T08,F23,C18,SFO,ORD,20580,33913,13333,11533,2963,200,160,05:43 -> 09:25
T08,F24,C18,ORD,PHX,48186,58594,10408,8608,2313,200,160,13:23 -> 16:16
T08,F25,C19,PHX,DTW,74532,86605,12073,10273,2683,200,160,20:42 -> 00:03 (+1)
T09,F26,C20,EWR,DTW,20940,24463,3523,1723,783,160,128,05:49 -> 06:47
T09,F27,C20,DTW,LGA,32323,35945,3622,1822,805,160,128,08:58 -> 09:59
T09,F28,C21,LGA,IAH,65051,75297,10246,8446,2277,160,128,18:04 -> 20:54
T10,F29,C22,ATL,MSP,20640,27205,6565,4765,1459,120,96,05:44 -> 07:33
T10,F30,C22,MSP,ATL,37539,44104,6565,4765,1459,120,96,10:25 -> 12:15
T10,F31,C23,ATL,LAS,67272,79890,12618,10818,2804,120,96,18:41 -> 22:11
T11,F32,C24,FLL,MSP,20340,31122,10782,8982,2396,160,128,05:39 -> 08:38
T11,F33,C25,MSP,FLL,49124,59906,10782,8982,2396,160,128,13:38 -> 16:38
T11,F34,C26,FLL,ATL,74926,79138,4212,2412,936,160,128,20:48 -> 21:58
T11,F35,C26,ATL,DTW,84657,88968,4311,2511,958,160,128,23:30 -> 00:42 (+1)
T12,F36,C27,CLT,DFW,19800,26563,6763,4963,1503,120,96,05:30 -> 07:22
T12,F37,C28,DFW,MCO,61191,68310,7119,5319,1582,120,96,16:59 -> 18:58
T12,F38,C29,MCO,MDW,84701,91878,7177,5377,1595,120,96,23:31 -> 01:31 (+1)
T13,F39,C30,FLL,JFK,19800,27553,7753,5953,1723,200,160,05:30 -> 07:39
T13,F40,C30,JFK,IAH,40339,50585,10246,8446,2277,200,160,11:12 -> 14:03
T13,F41,C31,IAH,BWI,62597,71529,8932,7132,1985,200,160,17:23 -> 19:52
