Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,PHL,ATL,19920,24739,75
I01,F00-F01,PHL,ORD,19920,46303,11
I02,F01,ATL,ORD,41911,46303,59
I03,F02,ORD,ATL,51312,55704,66
I04,F03,ATL,ORD,86087,90479,96
I05,F04,PHL,TPA,19980,26649,85
I06,F04-F05,PHL,DFW,19980,36033,11
I07,F05,TPA,DFW,29319,36033,85
I08,F06,DFW,TPA,50870,57584,96
I09,F07,TPA,DFW,73820,80534,96
I10,F08,IAH,EWR,20220,30345,75
I11,F09,EWR,MCO,64711,71506,85
I12,F10,MDW,CLT,20340,24570,141
I13,F10-F11,MDW,DFW,20340,57807,19
I14,F11,CLT,DFW,51044,57807,110
I15,F11-F12,CLT,ATL,51044,79326,16
I16,F12,DFW,ATL,74043,79326,144
I17,F13,SEA,SAN,20880,28494,141
I18,F13-F14,SEA,DEN,20880,61898,19
I19,F14,SAN,DEN,55729,61898,110
I20,F14-F15,SAN,PHL,55729,87503,16
I21,F15,DEN,PHL,76253,87503,144
I22,F16,DTW,EWR,19980,23503,141
I23,F08-F17,IAH,MIA,20220,46627,11
I24,F16-F17,DTW,MIA,19980,46627,19
I25,F17,EWR,MIA,38752,46627,80
I26,F17-F18,EWR,DCA,38752,56587,15
I27,F18,MIA,DCA,49914,56587,128
I28,F18-F19,MIA,MCO,49914,84181,17
I29,F19,DCA,MCO,78673,84181,143
I30,F20,TPA,JFK,20820,28105,160
I31,F21,JFK,DFW,62479,72532,141
I32,F22,SEA,LAS,20760,27037,75
I33,F22-F23,SEA,SFO,20760,51023,11
I34,F23,LAS,SFO,48035,51023,85
I35,F24,SFO,SLC,82577,86901,96
I36,F25,ATL,ORD,20820,25212,100
I37,F25-F26,ATL,MCO,20820,45626,15
I38,F26,ORD,MCO,38336,45626,100
I39,F26-F27,ORD,PHX,38336,82515,13
I40,F27,MCO,PHX,69155,82515,115
I41,F28,LAX,MSP,19920,31021,100
I42,F28-F29,LAX,DTW,19920,37134,15
I43,F29,MSP,DTW,33318,37134,113
I44,F30,DTW,MSP,42678,46494,128
I45,F28-F31,LAX,DTW,19920,54487,13
I46,F31,MSP,DTW,50671,54487,115
I47,F32,DTW,MSP,74323,78139,128
I48,F33,MSP,LAS,20700,30091,100
I49,F22-F34,SEA,ORD,20760,54572,10
I50,F33-F34,MSP,ORD,20700,54572,15
I51,F34,LAS,ORD,43633,54572,72
I52,F01-F35,ATL,FLL,41911,73612,10
I53,F34-F35,LAS,FLL,43633,73612,12
I54,F35,ORD,FLL,65040,73612,106
I55,F36,ATL,DFW,20520,25803,96
I56,F37,DFW,ATL,33082,38365,96
I57,F02-F38,ORD,DFW,51312,64076,11
I58,F38,ATL,DFW,58793,64076,75
I59,F39,DTW,MIA,21000,29311,96
I60,F17-F40,EWR,ATL,38752,62901,13
I61,F40,MIA,ATL,58586,62901,66
I62,F41,PDX,SFO,19860,23847,85
I63,F41-F42,PDX,ORD,19860,49594,11
I64,F42,SFO,ORD,36261,49594,66
I65,F01-F43,ATL,SFO,41911,78960,9
I66,F34-F43,LAS,SFO,43633,78960,10
I67,F43,ORD,SFO,65627,78960,68
I68,F43-F44,ORD,IAH,65627,92871,9
I69,F44,SFO,IAH,81050,92871,87
I70,F45,SAN,SEA,20940,28554,96
I71,F46,SEA,SAN,42219,49833,85
I72,F46-F47,SEA,MSP,42219,85768,11
I73,F47,SAN,MSP,74689,85768,85
I74,F48,ATL,PHL,20400,25219,128
I75,F49,PHL,ATL,36641,41460,128
I76,F02-F50,ORD,LAS,51312,85205,10
I77,F40-F50,MIA,LAS,58586,85205,9
I78,F50,ATL,LAS,72587,85205,109
I79,F51,SAN,MDW,20520,33012,96
I80,F52,MDW,DCA,64989,69327,96
I81,F53,LAX,DEN,19920,26152,141
I82,F54,DEN,LAX,46358,52590,160
I83,F55,LAX,DEN,65752,71984,160
I84,F14-F56,SAN,LAX,55729,91604,15
I85,F56,DEN,LAX,85372,91604,145
I86,F57,PDX,SLC,20700,25249,160
I87,F58,SLC,PDX,30615,35164,141
I88,F58-F59,SLC,MSP,30615,49763,19
I89,F59,PDX,MSP,39467,49763,141
I90,F60,MSP,MCO,79897,89392,160
I91,F61,PHL,MSP,19920,27003,85
I92,F61-F62,PHL,LAX,19920,50011,11
I93,F62,MSP,LAX,38910,50011,85
I94,F63,LAX,MSP,82480,93581,96
I95,F64,BWI,MIA,19800,26662,160
I96,F17-F65,EWR,BWI,38752,65593,12
I97,F65,MIA,BWI,58731,65593,131
I98,F65-F66,MIA,DFW,58731,84381,17
I99,F66,BWI,DFW,75588,84381,143
I100,F67,DEN,ORD,19980,26397,85
I101,F01-F68,ATL,MCO,41911,63068,7
I102,F42-F68,SFO,MCO,36261,63068,10
