Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,PHL,ATL,19920,24739,4819,3019,1071,120,96,05:32 -> 06:52
T00,F01,C01,ATL,ORD,41911,46303,4392,2592,976,120,96,11:38 -> 12:51
T00,F02,C01,ORD,ATL,51312,55704,4392,2592,976,120,96,14:15 -> 15:28
T00,F03,C02,ATL,ORD,86087,90479,4392,2592,976,120,96,23:54 -> 01:07 (+1)
T01,F04,C03,PHL,TPA,19980,26649,6669,4869,1482,120,96,05:33 -> 07:24
T01,F05,C03,TPA,DFW,29319,36033,6714,4914,1492,120,96,08:08 -> 10:00
T01,F06,C04,DFW,TPA,50870,57584,6714,4914,1492,120,96,14:07 -> 15:59
T01,F07,C05,TPA,DFW,73820,80534,6714,4914,1492,120,96,20:30 -> 22:22
T02,F08,C06,IAH,EWR,20220,30345,10125,8325,2250,120,96,05:37 -> 08:25
T02,F09,C07,EWR,MCO,64711,71506,6795,4995,1510,120,96,17:58 -> 19:51
T03,F10,C08,MDW,CLT,20340,24570,4230,2430,940,200,160,05:39 -> 06:49
T03,F11,C09,CLT,DFW,51044,57807,6763,4963,1503,200,160,14:10 -> 16:03
T03,F12,C10,DFW,ATL,74043,79326,5283,3483,1174,200,160,20:34 -> 22:02
T04,F13,C11,SEA,SAN,20880,28494,7614,5814,1692,200,160,05:48 -> 07:54
T04,F14,C12,SAN,DEN,55729,61898,6169,4369,1371,200,160,15:28 -> 17:11
T04,F15,C12,DEN,PHL,76253,87503,11250,9450,2500,200,160,21:10 -> 00:18 (+1)
T05,F16,C13,DTW,EWR,19980,23503,3523,1723,783,200,160,05:33 -> 06:31
T05,F17,C06,EWR,MIA,38752,46627,7875,6075,1750,200,160,10:45 -> 12:57
T05,F18,C06,MIA,DCA,49914,56587,6673,4873,1483,200,160,13:51 -> 15:43
T05,F19,C14,DCA,MCO,78673,84181,5508,3708,1224,200,160,21:51 -> 23:23
T06,F20,C15,TPA,JFK,20820,28105,7285,5485,1619,200,160,05:47 -> 07:48
T06,F21,C16,JFK,DFW,62479,72532,10053,8253,2234,200,160,17:21 -> 20:08
T07,F22,C17,SEA,LAS,20760,27037,6277,4477,1395,120,96,05:46 -> 07:30
T07,F23,C18,LAS,SFO,48035,51023,2988,1188,664,120,96,13:20 -> 14:10
