Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,PHX,CLT,19920.0,32736.0,12816,11016,2848,120,96,05:32 -> 09:05,0
T00,F01,C01,CLT,MIA,49908.0,54628.0,4720,2920,1049,120,96,13:51 -> 15:10,0
T00,F02,C01,MIA,CLT,59637.0,64357.0,4720,2920,1049,120,96,16:33 -> 17:52,0
T01,F03,C02,IAH,PHX,20640.0,27930.0,7290,5490,1620,120,96,05:44 -> 07:45,0
T01,F04,C03,PHX,IAH,49947.0,57237.0,7290,5490,1620,120,96,13:52 -> 15:53,0
T01,F05,C03,IAH,PHX,69893.0,77183.0,7290,5490,1620,120,96,19:24 -> 21:26,0
T02,F06,C04,MIA,DFW,20160.0,28269.0,8109,6309,1802,160,128,05:36 -> 07:51,0
T02,F07,C05,DFW,LAX,50122.34617076207,59045.34617076207,8923,7123,1983,160,128,13:55 -> 16:24,1
T02,F08,C06,LAX,DEN,77743.0,83975.0,6232,4432,1385,160,128,21:35 -> 23:19,0
T03,F09,C07,LAS,SFO,24526.442694770056,27514.442694770056,2988,1188,664,160,128,06:48 -> 07:38,1
T03,F10,C08,SFO,LAS,50536.0,53524.0,2988,1188,664,160,128,14:02 -> 14:52,0
T03,F11,C09,LAS,IAH,80739.0,89568.0,8829,7029,1962,160,128,22:25 -> 00:52 (+1),0
T04,F12,C10,DFW,LAX,20340.0,29263.0,8923,7123,1983,200,160,05:39 -> 08:07,0
T04,F13,C11,LAX,ORD,48141.0,60750.0,12609,10809,2802,200,160,13:22 -> 16:52,0
T05,F14,C12,SFO,DFW,20100.0,30679.0,10579,8779,2351,160,128,05:35 -> 08:31,0
T05,F15,C13,DFW,JFK,59012.0,69065.0,10053,8253,2234,160,128,16:23 -> 19:11,0
T06,F16,C14,LAS,ORD,20520.0,31459.0,10939,9139,2431,120,96,05:42 -> 08:44,0
T06,F17,C15,ORD,JFK,50784.93053686971,56125.93053686971,5341,3541,1187,120,96,14:06 -> 15:35,1
T06,F18,C13,JFK,DFW,77476.0,87529.0,10053,8253,2234,120,96,21:31 -> 00:18 (+1),0
T07,F19,C16,SEA,LAX,20160.0,27072.0,6912,5112,1536,120,96,05:36 -> 07:31,0
T07,F20,C10,LAX,SEA,36812.0,43724.0,6912,5112,1536,120,96,10:13 -> 12:08,0
T07,F21,C17,SEA,ORD,65284.0,77708.0,12424,10624,2761,120,96,18:08 -> 21:35,0
T08,F22,C18,LAS,SEA,20040.0,26317.0,6277,4477,1395,200,160,05:34 -> 07:18,0
T08,F23,C19,SEA,LAS,42689.0,48966.0,6277,4477,1395,200,160,11:51 -> 13:36,0
T08,F24,C20,LAS,DEN,80520.0,85060.0,4540,2740,1009,200,160,22:22 -> 23:37,0
T09,F25,C21,ATL,DFW,20820.0,26103.0,5283,3483,1174,160,128,05:47 -> 07:15,0
T09,F26,C04,DFW,CLT,39227.0,45990.0,6763,4963,1503,160,128,10:53 -> 12:46,0
T09,F27,C01,CLT,ORD,69519.0,73857.0,4338,2538,964,160,128,19:18 -> 20:30,0
T09,F28,C01,ORD,JFK,78789.0,84130.0,5341,3541,1187,160,128,21:53 -> 23:22,0
T10,F29,C22,LAX,DFW,19920.0,28843.0,8923,7123,1983,200,160,05:32 -> 08:00,0
T10,F30,C23,DFW,LAX,56434.0,65357.0,8923,7123,1983,200,160,15:40 -> 18:09,0
T10,F31,C23,LAX,ORD,76344.0,88953.0,12609,10809,2802,200,160,21:12 -> 00:42 (+1),0
T11,F32,C24,LAS,SFO,20100.0,23088.0,2988,1188,664,160,128,05:35 -> 06:24,0
T11,F33,C07,SFO,IAH,34959.0,46780.0,11821,10021,2627,160,128,09:42 -> 12:59,0
T11,F34,C07,IAH,DEN,52485.0,58726.0,6241,4441,1387,160,128,14:34 -> 16:18,0
T12,F35,C25,IAH,LAS,31425.615523214532,40254.61552321453,8829,7029,1962,160,128,08:43 -> 11:10,1
T12,F36,C26,LAS,DEN,46151.0,50691.0,4540,2740,1009,160,128,12:49 -> 14:04,0
T12,F37,C27,DEN,LAS,66079.0,70619.0,4540,2740,1009,160,128,18:21 -> 19:36,0
T13,F38,C28,LAS,SFO,20220.0,23208.0,2988,1188,664,160,128,05:37 -> 06:26,0
T13,F39,C29,SFO,IAH,48778.0,60599.0,11821,10021,2627,160,128,13:32 -> 16:49,0
T13,F40,C29,IAH,PHX,63448.0,70738.0,7290,5490,1620,160,128,17:37 -> 19:38,0
T14,F41,C30,DFW,SEA,19860.0,31866.0,12006,10206,2668,120,96,05:31 -> 08:51,0
T14,F42,C30,SEA,DEN,44280.0,51682.0,7402,5602,1645,120,96,12:18 -> 14:21,0
T14,F43,C31,DEN,SEA,67715.0,75117.0,7402,5602,1645,120,96,18:48 -> 20:51,0
T14,F44,C31,SEA,LAS,77207.0,83484.0,6277,4477,1395,120,96,21:26 -> 23:11,0
