Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,PHL,MIA,19920.0,27273.0,7353,5553,1634,120,96,05:32 -> 07:34,0
T00,F01,C01,MIA,MSP,44445.0,55326.0,10881,9081,2418,120,96,12:20 -> 15:22,0
T00,F02,C01,MSP,MIA,60335.0,71216.0,10881,9081,2418,120,96,16:45 -> 19:46,0
T01,F03,C02,EWR,ATL,20280.0,25675.0,5395,3595,1199,120,96,05:38 -> 07:07,0
T01,F04,C03,ATL,EWR,59803.0,65198.0,5395,3595,1199,120,96,16:36 -> 18:06,0
T01,F05,C03,EWR,DFW,67868.0,77786.0,9918,8118,2204,120,96,18:51 -> 21:36,0
T02,F06,C04,ATL,MIA,20760.0,25075.0,4315,2515,959,160,128,05:46 -> 06:57,0
T02,F07,C05,MIA,ATL,43831.0,48146.0,4315,2515,959,160,128,12:10 -> 13:22,0
T02,F08,C05,ATL,MIA,57841.0,62156.0,4315,2515,959,160,128,16:04 -> 17:15,0
T02,F09,C01,MIA,ATL,79674.0,83989.0,4315,2515,959,160,128,22:07 -> 23:19,0
T02,F10,C06,ATL,DFW,86523.0,91806.0,5283,3483,1174,160,128,00:02 (+1) -> 01:30 (+1),0
T03,F11,C07,PHX,DEN,25302.01879901289,29658.01879901289,4356,2556,968,200,160,07:01 -> 08:14,1
T03,F12,C08,DEN,PHL,59421.0,70671.0,11250,9450,2500,200,160,16:30 -> 19:37,0
T04,F13,C09,PHL,MIA,20700.0,28053.0,7353,5553,1634,160,128,05:45 -> 07:47,0
T04,F14,C10,MIA,PHL,62875.44023809341,70228.4402380934,7353,5553,1634,160,128,17:27 -> 19:30,1
T04,F15,C10,PHL,CLT,78248.49073951445,81492.49073951445,3244,1444,721,160,128,21:44 -> 22:38,1
T04,F16,C10,CLT,EWR,78410.0,82235.0,3825,2025,850,160,128,21:46 -> 22:50,0
T05,F17,C11,DFW,JFK,20100.0,30153.0,10053,8253,2234,200,160,05:35 -> 08:22,0
T05,F18,C12,JFK,DFW,48700.0,58753.0,10053,8253,2234,200,160,13:31 -> 16:19,0
T05,F19,C12,DFW,MCO,62040.0,69159.0,7119,5319,1582,200,160,17:14 -> 19:12,0
T06,F20,C13,CLT,MCO,19800.0,23197.0,3397,1597,755,200,160,05:30 -> 06:26,0
T06,F21,C14,MCO,CLT,68496.67480327064,71893.67480327064,3397,1597,755,200,160,19:01 -> 19:58,1
T06,F22,C15,CLT,MCO,80510.02416746072,83907.02416746072,3397,1597,755,200,160,22:21 -> 23:18,1
T07,F23,C16,ATL,IAH,25383.825957222252,30364.825957222252,4981,3181,1107,200,160,07:03 -> 08:26,1
T07,F24,C17,IAH,ATL,57608.0,62589.0,4981,3181,1107,200,160,16:00 -> 17:23,0
T07,F25,C18,ATL,MIA,94640.33718127801,98955.33718127801,4315,2515,959,200,160,02:17 -> 03:29,1
T08,F26,C19,DTW,LAS,33782.61849066795,46418.61849066795,12636,10836,2808,120,96,09:23 -> 12:53,1
T08,F27,C19,LAS,DFW,55806.4124014367,63429.4124014367,7623,5823,1694,120,96,15:30 -> 17:37,1
T08,F28,C20,DFW,LAX,77219.0,86142.0,8923,7123,1983,120,96,21:26 -> 23:55,0
T09,F29,C21,DEN,IAH,19920.0,26161.0,6241,4441,1387,200,160,05:32 -> 07:16,0
T09,F30,C22,IAH,DEN,55883.0,62124.0,6241,4441,1387,200,160,15:31 -> 17:15,0
T10,F31,C23,EWR,IAH,19800.0,29925.0,10125,8325,2250,120,96,05:30 -> 08:18,0
T10,F32,C23,IAH,SFO,40912.0,52733.0,11821,10021,2627,120,96,11:21 -> 14:38,0
T10,F33,C24,SFO,IAH,64460.0,76281.0,11821,10021,2627,120,96,17:54 -> 21:11,0
T11,F34,C25,PHX,MCO,31463.219553411815,44823.219553411815,13360,11560,2969,200,160,08:44 -> 12:27,1
T11,F35,C25,MCO,IAH,39705.0,45879.0,6174,4374,1372,200,160,11:01 -> 12:44,0
T11,F36,C26,IAH,MCO,76499.90105760959,82673.90105760959,6174,4374,1372,200,160,21:14 -> 22:57,1
T12,F37,C27,MCO,PHX,19800.0,33160.0,13360,11560,2969,200,160,05:30 -> 09:12,0
T12,F38,C27,PHX,DFW,36168.0,42436.0,6268,4468,1393,200,160,10:02 -> 11:47,0
T12,F39,C28,DFW,ATL,61551.0,66834.0,5283,3483,1174,200,160,17:05 -> 18:33,0
T13,F40,C29,CLT,DEN,20760.0,30426.0,9666,7866,2148,160,128,05:46 -> 08:27,0
T13,F41,C30,DEN,LAX,51919.0,58151.0,6232,4432,1385,160,128,14:25 -> 16:09,0
T13,F42,C30,LAX,DEN,75652.40196671175,81884.40196671175,6232,4432,1385,160,128,21:00 -> 22:44,1
T14,F43,C31,PHX,DFW,20340.0,26608.0,6268,4468,1393,120,96,05:39 -> 07:23,0
T14,F44,C31,DFW,PHX,37038.0,43306.0,6268,4468,1393,120,96,10:17 -> 12:01,0
T14,F45,C32,PHX,DFW,75158.0,81426.0,6268,4468,1393,120,96,20:52 -> 22:37,0
T15,F46,C33,DTW,LAS,21390.83129502816,34026.83129502816,12636,10836,2808,120,96,05:56 -> 09:27,1
T15,F47,C33,LAS,IAH,41333.0,50162.0,8829,7029,1962,120,96,11:28 -> 13:56,0
T15,F48,C34,IAH,LAS,58600.0,67429.0,8829,7029,1962,120,96,16:16 -> 18:43,0
T16,F49,C35,ATL,MIA,20400.0,24715.0,4315,2515,959,160,128,05:40 -> 06:51,0
T16,F50,C00,MIA,ATL,36137.0,40452.0,4315,2515,959,160,128,10:02 -> 11:14,0
T16,F51,C17,ATL,DFW,75919.69232893687,81202.69232893687,5283,3483,1174,160,128,21:05 -> 22:33,1
T16,F52,C03,DFW,MIA,97261.82328925151,105370.82328925151,8109,6309,1802,160,128,03:01 -> 05:16,1
T17,F53,C36,BOS,IAH,20700.0,32251.0,11551,9751,2567,200,160,05:45 -> 08:57,0
T17,F54,C16,IAH,BOS,42944.55960222353,54495.55960222353,11551,9751,2567,200,160,11:55 -> 15:08,1
T17,F55,C37,BOS,IAH,54185.0,65736.0,11551,9751,2567,200,160,15:03 -> 18:15,0
T18,F56,C38,DTW,LAS,20280.0,32916.0,12636,10836,2808,160,128,05:38 -> 09:08,0
T18,F57,C38,LAS,DFW,44675.0,52298.0,7623,5823,1694,160,128,12:24 -> 14:31,0
T18,F58,C17,DFW,CLT,86735.0,93498.0,6763,4963,1503,160,128,00:05 (+1) -> 01:58 (+1),0
T19,F59,C39,MCO,DFW,31976.369317381028,39095.36931738103,7119,5319,1582,120,96,08:52 -> 10:51,1
T19,F60,C39,DFW,MCO,46804.266232390306,53923.266232390306,7119,5319,1582,120,96,13:00 -> 14:58,1
T19,F61,C39,MCO,DFW,46718.0,53837.0,7119,5319,1582,120,96,12:58 -> 14:57,0
T19,F62,C40,DFW,SEA,58258.0,70264.0,12006,10206,2668,120,96,16:10 -> 19:31,0
