Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,128,DFW,ORD,19860.00000027102,25664.99999885605,0.0,0.0,05:31 -> 07:07
I01,I01,F01,F01,68,ORD,ATL,41313.00000049946,45705.00000027892,2.7891655918210745e-07,0.0,11:28 -> 12:41
I02,I02,F02,F02,128,ATL,ORD,67456.0,71847.99999983885,0.0,0.0,18:44 -> 19:57
I03,I03,F03,F03,128,ORD,ATL,83286.00000021329,87678.0,0.0,0.0,23:08 -> 00:21 (+1)
I04,I04,F04,F04,96,ORD,LAX,19980.0,32589.0,0.0,0.0,05:33 -> 09:03
I05,I05,F05,F05,96,LAX,ORD,58141.154875206405,70389.99999969982,0.0,0.0,16:09 -> 19:33
I06,I06,F06,F06,160,DFW,ATL,20640.00000021678,25922.999998868538,0.0,0.0,05:44 -> 07:12
I07,I07,F07,F07,160,ATL,DFW,55254.00000021675,60536.99999884642,0.0,0.0,15:20 -> 16:48
I08,I08,F08,F08,160,DFW,ORD,75976.0,81780.99999971919,0.0,0.0,21:06 -> 22:43
I09,I09,F09,F09,128,ATL,DFW,20160.000000268712,25442.99999943144,0.0,0.0,05:36 -> 07:04
I10,I10,F10,F10,128,DFW,ATL,54717.0000002684,59999.99999948815,0.0,0.0,15:11 -> 16:39
I11,I11,F01-F11,F01-F11,60,ORD,DFW,41313.00000049946,85652.99999963694,0.0,0.0,11:28 -> 23:47
I12,I12,F11,F11,68,ATL,DFW,80370.00000032244,85652.99999963694,0.0,0.0,22:19 -> 23:47
I13,I13,F12,F12,128,ATL,ORD,20820.000000266748,25211.999999936746,0.0,0.0,05:47 -> 07:00
I14,I14,F13,F13,128,ORD,ATL,33961.00000026666,38352.999999954955,0.0,0.0,09:26 -> 10:39
I15,I15,F14,F14,128,ATL,DFW,43286.00000026845,48568.99999948026,0.0,0.0,12:01 -> 13:29
I16,I16,F15,F15,128,DFW,ATL,56657.00000026841,61939.99999948562,0.0,0.0,15:44 -> 17:12
