index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,DFW,ORD,19860.00000027102,25664.99999885605,5804.99999858503,4004.9999976241033,1290,160,128,05:31 -> 07:07,,0
1,T00,F01,C00,ORD,ATL,41313.00000049946,45705.00000027892,4391.999999779458,2591.999999259441,976,160,128,11:28 -> 12:41,,0
2,T00,F02,C00,ATL,ORD,67456.0,71847.99999983885,4391.999999838852,2591.999999379634,976,160,128,18:44 -> 19:57,,0
3,T00,F03,C01,ORD,ATL,83286.00000021329,87678.0,4391.999999786713,2591.9999996024103,976,160,128,23:08 -> 00:21 (+1),,0
4,T01,F04,C02,ORD,LAX,19980.0,32589.0,12609.0,10808.999992978655,2802,120,96,05:33 -> 09:03,,0
5,T01,F05,C02,LAX,ORD,58141.154875206405,70389.99999969982,12248.845124493419,10448.845121098557,2802,120,96,16:09 -> 19:33,,1
6,T02,F06,C03,DFW,ATL,20640.00000021678,25922.999998868538,5282.999998651758,3482.9999977842695,1174,200,160,05:44 -> 07:12,,0
7,T02,F07,C03,ATL,DFW,55254.00000021675,60536.99999884642,5282.999998629668,3482.999997811292,1174,200,160,15:20 -> 16:48,,0
8,T02,F08,C03,DFW,ORD,75976.0,81780.99999971919,5804.999999719192,4004.999998879914,1290,200,160,21:06 -> 22:43,,0
9,T03,F09,C04,ATL,DFW,20160.000000268712,25442.99999943144,5282.999999162726,3482.9999985721056,1174,160,128,05:36 -> 07:04,,0
10,T03,F10,C04,DFW,ATL,54717.0000002684,59999.99999948815,5282.999999219748,3482.999998442976,1174,160,128,15:11 -> 16:39,,0
11,T03,F11,C04,ATL,DFW,80370.00000032244,85652.99999963694,5282.999999314503,3482.9999990535703,1174,160,128,22:19 -> 23:47,,0
12,T04,F12,C05,ATL,ORD,20820.000000266748,25211.999999936746,4391.999999669999,2591.999999209584,976,160,128,05:47 -> 07:00,,0
13,T04,F13,C05,ORD,ATL,33961.00000026666,38352.999999954955,4391.999999688298,2591.999999153126,976,160,128,09:26 -> 10:39,,0
14,T04,F14,C05,ATL,DFW,43286.00000026845,48568.99999948026,5282.99999921181,3482.999998435818,1174,160,128,12:01 -> 13:29,,0
15,T04,F15,C05,DFW,ATL,56657.00000026841,61939.99999948562,5282.999999217209,3482.9999984173164,1174,160,128,15:44 -> 17:12,,0
