Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,ATL,DFW,19800,25083,160
I01,F01,DFW,ATL,31655,36938,141
I02,F01-F02,DFW,ORD,31655,68460,19
I03,F02,ATL,ORD,64068,68460,125
I04,F03,ORD,ATL,71346,75738,141
I05,F04,ATL,ORD,85495,89887,160
I06,F05,JFK,DEN,20280,32020,128
I07,F06,DEN,ORD,61379,67796,113
I08,F02-F07,ATL,LAX,64068,87522,16
I09,F06-F07,DEN,LAX,61379,87522,15
I10,F07,ORD,LAX,74913,87522,97
I11,F08,JFK,DFW,20280,30333,100
I12,F08-F09,JFK,ATL,20280,55755,15
I13,F09,DFW,ATL,50472,55755,88
I14,F09-F10,DFW,ORD,50472,80826,13
I15,F10,ATL,ORD,76434,80826,115
I16,F11,DEN,DFW,20220,24864,96
I17,F08-F12,JFK,ATL,20280,61198,13
I18,F12,DFW,ATL,55915,61198,74
I19,F03-F13,ORD,JFK,71346,84003,19
I20,F09-F13,DFW,JFK,50472,84003,12
I21,F12-F13,DFW,JFK,55915,84003,9
I22,F13,ATL,JFK,78504,84003,56
I23,F14,DEN,ORD,19920,26337,160
I24,F15,ORD,DEN,53073,59490,141
I25,F15-F16,ORD,ATL,53073,82934,19
I26,F16,DEN,ATL,74267,82934,141
