Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,ATL,DFW,19800,25083,5283,3483,1174,200,160,05:30 -> 06:58
T00,F01,C00,DFW,ATL,31655,36938,5283,3483,1174,200,160,08:47 -> 10:15
T00,F02,C01,ATL,ORD,64068,68460,4392,2592,976,200,160,17:47 -> 19:01
T00,F03,C01,ORD,ATL,71346,75738,4392,2592,976,200,160,19:49 -> 21:02
T00,F04,C01,ATL,ORD,85495,89887,4392,2592,976,200,160,23:44 -> 00:58 (+1)
T01,F05,C02,JFK,DEN,20280,32020,11740,9940,2609,160,128,05:38 -> 08:53
T01,F06,C03,DEN,ORD,61379,67796,6417,4617,1426,160,128,17:02 -> 18:49
T01,F07,C03,ORD,LAX,74913,87522,12609,10809,2802,160,128,20:48 -> 00:18 (+1)
T02,F08,C04,JFK,DFW,20280,30333,10053,8253,2234,160,128,05:38 -> 08:25
T02,F09,C05,DFW,ATL,50472,55755,5283,3483,1174,160,128,14:01 -> 15:29
T02,F10,C06,ATL,ORD,76434,80826,4392,2592,976,160,128,21:13 -> 22:27
T03,F11,C07,DEN,DFW,20220,24864,4644,2844,1032,120,96,05:37 -> 06:54
T03,F12,C08,DFW,ATL,55915,61198,5283,3483,1174,120,96,15:31 -> 16:59
T03,F13,C09,ATL,JFK,78504,84003,5499,3699,1222,120,96,21:48 -> 23:20
T04,F14,C10,DEN,ORD,19920,26337,6417,4617,1426,200,160,05:32 -> 07:18
T04,F15,C11,ORD,DEN,53073,59490,6417,4617,1426,200,160,14:44 -> 16:31
T04,F16,C12,DEN,ATL,74267,82934,8667,6867,1926,200,160,20:37 -> 23:02
