Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I00,I00,F00,F00,66,PHL,MIA,19920.000003231886,27272.99999314491,0.0,0.0,05:32 -> 07:34
I01,I01,F00-F01,F00-F01,11,PHL,MSP,19920.000003231886,55325.99999356247,0.0,0.0,05:32 -> 15:22
I02,I02,F01,F01,85,MIA,MSP,44445.0,55325.99999356247,0.0,0.0,12:20 -> 15:22
I03,I03,F02,F02,85,MSP,MIA,60335.00000385644,71215.99982629623,0.0,0.0,16:45 -> 19:46
I04,I04,F03,F03,96,EWR,ATL,20280.000002208057,25674.999995825103,0.0,0.0,05:38 -> 07:07
I05,I05,F04,F04,85,ATL,EWR,59803.0,65197.99999807022,0.0,0.0,16:36 -> 18:06
I06,I06,F04-F05,F04-F05,11,ATL,DFW,59803.0,77785.99999376955,0.0,0.0,16:36 -> 21:36
I07,I07,F05,F05,66,EWR,DFW,67868.00000572814,77785.99999376955,0.0,0.0,18:51 -> 21:36
I08,I08,F06,F06,113,ATL,MIA,20760.000001857927,25075.00000017233,1.7233105609193444e-07,0.0,05:46 -> 06:57
I09,I09,F00-F07,F00-F07,9,PHL,ATL,19920.000003231886,48145.99998624383,0.0,0.0,05:32 -> 13:22
I09,I79,F00-F07,F00-F50,5,PHL,ATL,19920.000003231886,48145.99998624383,7693.999986243827,656.7,05:32 -> 13:22
I10,I10,F07,F07,99,MIA,ATL,43831.00000072681,48145.99998624383,0.0,0.0,12:10 -> 13:22
I10,I81,F07,F50,81,MIA,ATL,43831.00000072681,48145.99998624383,7693.999986243827,10638.3,12:10 -> 13:22
I100,I100,F57,F57,83,LAS,DFW,44675.00000210736,52297.99993563465,0.0,0.0,12:24 -> 14:31
I101,I101,F05-F58,F05-F58,9,EWR,CLT,67868.00000572814,93498.00000093691,9.369105100631714e-07,0.0,18:51 -> 01:58 (+1)
I102,I102,F18-F58,F18-F58,11,JFK,CLT,48700.0,93498.00000093691,9.369105100631714e-07,0.0,13:31 -> 01:58 (+1)
I103,I103,F45-F58,F45-F58,10,PHX,CLT,75158.0,93498.00000093691,9.369105100631714e-07,0.0,20:52 -> 01:58 (+1)
I104,I104,F51-F58,F51-F58,10,ATL,CLT,71579.00000196123,93498.00000093691,9.369105100631714e-07,0.0,19:52 -> 01:58 (+1)
I105,I105,F58,F58,88,DFW,CLT,86735.00000634986,93498.00000093691,9.369105100631714e-07,0.0,00:05 (+1) -> 01:58 (+1)
I106,I106,F59,F59,96,MCO,DFW,19920.00000225563,27038.9999868547,0.0,0.0,05:32 -> 07:30
I107,I107,F43-F60,F43-F60,11,PHX,MCO,20340.00000250897,40995.99998870125,0.0,0.0,05:39 -> 11:23
I108,I108,F60,F60,85,DFW,MCO,33877.00000224382,40995.99998870125,0.0,0.0,09:24 -> 11:23
I109,I109,F20-F61,F20-F61,16,CLT,DFW,19800.000001678523,53836.999990123826,0.0,0.0,05:30 -> 14:57
I11,I11,F08,F08,128,ATL,MIA,57841.00000163712,62155.99999997333,0.0,0.0,16:04 -> 17:15
I110,I110,F34-F61,F34-F61,16,PHX,DFW,20640.000005662605,53836.999990123826,0.0,0.0,05:44 -> 14:57
I111,I111,F61,F61,57,MCO,DFW,46718.000002410394,53836.999990123826,0.0,0.0,12:58 -> 14:57
