index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
0,T00,F00,C00,PHL,ATL,19920.000001023473,24739.000000285203,4818.99999926173,3018.999995515834,1071,120,96,05:32 -> 06:52,,0
1,T00,F03,C02,ATL,ORD,86087.00000078333,90479.0,4391.99999921667,2591.999999216673,976,120,96,23:54 -> 01:07 (+1),,0
2,T01,F04,C03,PHL,TPA,19980.000000917164,26648.999997906903,6668.99999698974,4868.9999918265885,1482,120,96,05:33 -> 07:24,,0
3,T01,F05,C03,TPA,DFW,29319.000000819156,36032.99999659411,6713.999995774953,4913.999989660733,1492,120,96,08:08 -> 10:00,,0
4,T01,F06,C04,DFW,TPA,50870.0,57584.0,6714.0,4913.999995903594,1492,120,96,14:07 -> 15:59,,0
5,T01,F07,C05,TPA,DFW,73820.0,80534.0,6714.0,4913.999995907976,1492,120,96,20:30 -> 22:22,,0
6,T02,F08,C06,IAH,EWR,20220.000001334945,30344.999962281734,10124.999960946789,8324.999959693074,2250,120,96,05:37 -> 08:25,,0
7,T02,F09,C07,EWR,MCO,64711.0,71505.99999788225,6794.999997882245,4994.9999978822425,1510,120,96,17:58 -> 19:51,,0
8,T03,F10,C08,MDW,CLT,20340.0,24570.0,4230.0,2429.9999987129,940,200,160,05:39 -> 06:49,,0
9,T03,F11,C09,CLT,DFW,51044.00000127452,57806.99999857253,6762.999997298008,4962.9999949063495,1503,200,160,14:10 -> 16:03,,0
10,T03,F12,C10,DFW,ATL,74043.0,79325.99999866652,5282.999998666521,3482.9999986665266,1174,200,160,20:34 -> 22:02,,0
11,T04,F13,C11,SEA,SAN,20880.000000774937,28493.99995004734,7613.999949272402,5813.999948286616,1692,200,160,05:48 -> 07:54,,0
12,T04,F14,C12,SAN,DEN,55729.0,61897.99999823254,6168.999998232539,4368.999998232535,1371,200,160,15:28 -> 17:11,,0
13,T04,F15,C12,DEN,PHL,76253.00000459034,87503.0,11249.999995409657,9449.99999540966,2500,200,160,21:10 -> 00:18 (+1),,0
14,T05,F16,C13,DTW,EWR,19980.000000544707,23503.000000204556,3522.999999659849,1722.9999987557205,783,200,160,05:33 -> 06:31,,0
15,T05,F17,C06,EWR,MIA,38752.00000133685,46626.999998523046,7874.999997186198,6074.9999865589,1750,200,160,10:45 -> 12:57,,0
16,T05,F18,C06,MIA,DCA,49914.00000064106,56586.99997455219,6672.99997391113,4872.99997309721,1483,200,160,13:51 -> 15:43,,0
17,T05,F19,C14,DCA,MCO,78673.0,84180.9999985608,5507.999998560801,3707.999998560802,1224,200,160,21:51 -> 23:23,,0
18,T06,F20,C15,TPA,JFK,20820.000000692984,28104.99994797402,7284.999947281038,5484.99995291158,1619,200,160,05:47 -> 07:48,,0
19,T06,F21,C16,JFK,DFW,62479.0,72531.9999982592,10052.999998259198,8252.999940152022,2234,200,160,17:21 -> 20:08,,0
20,T07,F22,C17,SEA,LAS,20760.0,27036.999998184034,6276.999998184034,4476.999998184033,1395,120,96,05:46 -> 07:30,,0
21,T07,F23,C18,LAS,SFO,48035.00000079834,51023.000000534004,2987.9999997356645,1187.9999994894667,664,120,96,13:20 -> 14:10,,0
22,T07,F24,C19,SFO,SLC,82577.0,86901.0,4324.0,2523.999999243226,961,120,96,22:56 -> 00:08 (+1),,0
23,T08,F25,C20,ATL,ORD,20820.000000768123,25212.000000183485,4391.999999415362,2591.9999970008735,976,160,128,05:47 -> 07:00,,0
24,T08,F26,C20,ORD,MCO,38336.00000075475,45625.999982227084,7289.999981472334,5489.9999771642015,1620,160,128,10:38 -> 12:40,,0
25,T08,F27,C21,MCO,PHX,69155.0,82514.99999299072,13359.99999299072,11559.99999299072,2969,160,128,19:12 -> 22:55,,0
26,T09,F28,C22,LAX,MSP,19920.000001480937,31020.999903809297,11100.99990232836,9300.999898269674,2467,160,128,05:32 -> 08:37,,0
27,T09,F29,C22,MSP,DTW,33318.0000005999,37134.000000235494,3815.999999635591,2015.9999976493125,848,160,128,09:15 -> 10:18,,0
28,T09,F30,C22,DTW,MSP,42678.0000006006,46494.000000055144,3815.9999994545433,2015.9999986533812,848,160,128,11:51 -> 12:54,,0
29,T09,F31,C22,MSP,DTW,50671.000000565335,54487.00000008499,3815.999999519656,2015.9999983944606,848,160,128,14:04 -> 15:08,,0
30,T09,F32,C23,DTW,MSP,74323.0,78139.0,3816.0,2015.999998736434,848,160,128,20:38 -> 21:42,,0
31,T10,F33,C24,MSP,LAS,20700.00000114427,30090.999943461095,9390.999942316823,7590.999940761066,2087,160,128,05:45 -> 08:21,,0
32,T10,F34,C24,LAS,ORD,46983.31686482665,57100.31686721024,10117.00000238359,8317.00000190621,2431,160,128,13:03 -> 15:51,00:42,1
33,T10,F35,C25,ORD,FLL,65040.0,73612.0,8572.0,6771.999997198983,1905,160,128,18:04 -> 20:26,,0
34,T11,F36,C26,ATL,DFW,20520.00000080309,25802.99999961052,5282.9999988074305,3482.9999952997046,1174,120,96,05:42 -> 07:10,,0
35,T11,F37,C26,DFW,ATL,33082.000000802684,38364.99999968798,5282.999998885294,3482.999994779257,1174,120,96,09:11 -> 10:39,,0
36,T11,F38,C01,ATL,DFW,58793.00000094818,64075.99999989804,5282.999998949861,3482.9999960387663,1174,120,96,16:19 -> 17:47,,0
37,T12,F39,C27,DTW,MIA,21000.000000947086,29310.999975695468,8310.999974748382,6510.9999707262505,1847,120,96,05:50 -> 08:08,,0
38,T12,F40,C28,MIA,ATL,58586.00000097012,62901.00000053017,4314.999999560052,2514.9999964740796,959,120,96,16:16 -> 17:28,,0
39,T13,F41,C29,PDX,SFO,19860.00000090457,23847.000000032942,3986.999999128373,2186.9999985852137,886,120,96,05:31 -> 06:37,,0
40,T13,F42,C29,SFO,ORD,36261.00000214701,49593.999884741184,13332.999882594173,11532.999879976654,2963,120,96,10:04 -> 13:46,,0
41,T13,F43,C30,ORD,SFO,65627.00000008938,78959.99998415668,13332.999984067297,11532.999981173101,2963,120,96,18:13 -> 21:55,,0
42,T13,F44,C30,SFO,IAH,81050.0,92871.0,11821.0,10020.999994561631,2627,120,96,22:30 -> 01:47 (+1),,0
43,T14,F45,C31,SAN,SEA,20940.0,28553.9999974233,7613.9999974233,5813.9999974233,1692,120,96,05:49 -> 07:55,,0
44,T14,F46,C31,SEA,SAN,42219.0,49833.0,7614.0,5813.999997725291,1692,120,96,11:43 -> 13:50,,0
45,T14,F47,C32,SAN,MSP,74689.0,85767.99999503526,11078.999995035265,9278.999995035258,2462,120,96,20:44 -> 23:49,,0
46,T15,F48,C33,ATL,PHL,20400.00000060256,25218.999999552587,4818.999998950028,3018.9999955690937,1071,160,128,05:40 -> 07:00,,0
47,T15,F49,C33,PHL,ATL,36641.0,41254.073627167774,4613.073627167774,2813.0736253568257,1071,160,128,10:10 -> 11:27,,0
48,T15,F01,C01,ATL,ORD,43054.073627167774,47417.66181080358,4363.588183635802,2563.5881811096697,976,160,160,11:57 -> 13:10,00:18,2
49,T15,F02,C01,ORD,ATL,51312.00000115973,55704.000000725464,4391.9999995657345,2591.9999963499376,976,160,96,14:15 -> 15:28,,0
