Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T00,F00,C00,PHX,SFO,19920,24627,4707,2907,1046,120,96,05:32 -> 06:50
T00,F01,C01,SFO,DFW,41799,52378,10579,8779,2351,120,96,11:36 -> 14:32
T00,F02,C01,DFW,SFO,57387,67966,10579,8779,2351,120,96,15:56 -> 18:52
T01,F03,C02,CLT,DEN,20280,29946,9666,7866,2148,120,96,05:38 -> 08:19
T01,F04,C03,DEN,SFO,64074,71058,6984,5184,1552,120,96,17:47 -> 19:44
T01,F05,C03,SFO,DFW,73728,84307,10579,8779,2351,120,96,20:28 -> 23:25
T02,F06,C04,ATL,DFW,20760,26043,5283,3483,1174,160,128,05:46 -> 07:14
T02,F07,C05,DFW,ATL,44799,50082,5283,3483,1174,160,128,12:26 -> 13:54
T02,F08,C05,ATL,DFW,59777,65060,5283,3483,1174,160,128,16:36 -> 18:04
T02,F09,C06,DFW,ATL,82578,87861,5283,3483,1174,160,128,22:56 -> 00:24 (+1)
T03,F10,C07,LAX,DFW,20100,29023,8923,7123,1983,200,160,05:35 -> 08:03
T03,F11,C07,DFW,JFK,40959,51012,10053,8253,2234,200,160,11:22 -> 14:10
T04,F12,C08,DFW,JFK,20340,30393,10053,8253,2234,200,160,05:39 -> 08:26
T04,F13,C09,JFK,DEN,49271,61011,11740,9940,2609,200,160,13:41 -> 16:56
T05,F14,C10,SFO,DFW,20100,30679,10579,8779,2351,160,128,05:35 -> 08:31
T05,F15,C11,DFW,DEN,59012,63656,4644,2844,1032,160,128,16:23 -> 17:40
T05,F16,C12,DEN,DFW,88156,92800,4644,2844,1032,160,128,00:29 (+1) -> 01:46 (+1)
T06,F17,C13,ATL,ORD,20700,25092,4392,2592,976,200,160,05:45 -> 06:58
T06,F18,C14,ORD,ATL,60517,64909,4392,2592,976,200,160,16:48 -> 18:01
T06,F19,C14,ATL,LAS,72534,85152,12618,10818,2804,200,160,20:08 -> 23:39
T07,F20,C15,SFO,DFW,20760,31339,10579,8779,2351,120,96,05:46 -> 08:42
T07,F21,C15,DFW,PHX,45220,51488,6268,4468,1393,120,96,12:33 -> 14:18
T07,F22,C16,PHX,ORD,74113,84521,10408,8608,2313,120,96,20:35 -> 23:28
