Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I00,F00,PHX,SFO,19920,24627,85
I01,F00-F01,PHX,DFW,19920,52378,11
I02,F01,SFO,DFW,41799,52378,75
I03,F02,DFW,SFO,57387,67966,96
I04,F03,CLT,DEN,20280,29946,96
I05,F04,DEN,SFO,64074,71058,85
I06,F04-F05,DEN,DFW,64074,84307,11
I07,F05,SFO,DFW,73728,84307,85
I08,F06,ATL,DFW,20760,26043,100
I09,F07,DFW,ATL,44799,50082,113
I10,F08,ATL,DFW,59777,65060,128
I11,F09,DFW,ATL,82578,87861,128
I12,F10,LAX,DFW,20100,29023,125
I13,F06-F11,ATL,JFK,20760,51012,15
I14,F10-F11,LAX,JFK,20100,51012,19
I15,F11,DFW,JFK,40959,51012,126
I16,F12,DFW,JFK,20340,30393,141
I17,F12-F13,DFW,DEN,20340,61011,19
I18,F13,JFK,DEN,49271,61011,125
I19,F14,SFO,DFW,20100,30679,100
I20,F01-F15,SFO,DEN,41799,63656,10
I21,F14-F15,SFO,DEN,20100,63656,15
I22,F15,DFW,DEN,59012,63656,103
I23,F13-F16,JFK,DFW,49271,92800,16
I24,F16,DEN,DFW,88156,92800,112
I25,F17,ATL,ORD,20700,25092,160
I26,F18,ORD,ATL,60517,64909,141
I27,F07-F19,DFW,LAS,44799,85152,15
I28,F18-F19,ORD,LAS,60517,85152,19
I29,F19,ATL,LAS,72534,85152,126
I30,F20,SFO,DFW,20760,31339,85
I31,F06-F21,ATL,PHX,20760,51488,13
I32,F10-F21,LAX,PHX,20100,51488,16
I33,F14-F21,SFO,PHX,20100,51488,13
I34,F20-F21,SFO,PHX,20760,51488,11
I35,F21,DFW,PHX,45220,51488,38
I36,F21-F22,DFW,ORD,45220,84521,5
I37,F22,PHX,ORD,74113,84521,91
